sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
6.34E+05,0.0046333,3,-1427.9,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
6.34E+05,0.0075333,4,-488.6,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
6.34E+05,0.0089667,5,-230.41,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike_test.png
6.43E+05,0.29623,1,-1797.9,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
6.44E+05,0.0181,2,-1855.2,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
6.44E+05,0.0044333,3,-953.25,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
6.44E+05,0.0068,4,-599.36,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
6.44E+05,0.011333,5,-351.76,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike_test.png
6.77E+05,1.0928,-1,-1974.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.82E+05,0.17857,1,-1906.1,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
6.83E+05,0.0074333,2,-1808.8,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
6.83E+05,0.0043,3,-731.54,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
6.83E+05,0.0059333,4,-78.887,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
6.84E+05,0.028333,1,-266.9,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
6.84E+05,0.0134,2,-229,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
6.85E+05,0.017,3,-627.94,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
7.03E+05,0.6046,-1,-1931.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.07E+05,0.1494,-1,-1930.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.09E+05,0.042167,-1,-1582.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.11E+05,0.070733,-1,-1703.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.12E+05,0.043167,-1,-1325.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.15E+05,0.082833,-1,-1415.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.18E+05,0.1249,-1,-1379.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.19E+05,0.034933,-1,-1379.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.21E+05,0.051233,-1,-1939.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.25E+05,0.14727,-1,-1770.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.26E+05,0.0278,1,-1596.9,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
7.26E+05,0.0112,2,-1127.8,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
7.27E+05,0.033233,-1,-1521.1,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.34E+05,0.2063,-1,-1729.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.50E+05,0.54223,1,-1934.5,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
7.50E+05,0.0077,2,-1713.6,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
7.50E+05,0.0043,3,-827.31,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
7.51E+05,0.010533,4,-1159.9,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
7.68E+05,0.58207,-1,-1908.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.72E+05,0.1227,-1,-1910,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.76E+05,0.13743,-1,-1952.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.77E+05,0.033133,-1,-1682.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7.84E+05,0.24507,1,-1897.4,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
